specimen.id,treatment,sex,Csize,curvature
T417n15,dmrtTriple,male,275.180748680653,0.0513528162413148
T417n16,dmrtTriple,male,295.436024283506,0.0478739130333732
T417n17,dmrtTriple,male,283.837018790322,0.0526038867759379
T417n4,dmrtTriple,male,263.229515400112,0.0467506021017276
T417n7,dmrtTriple,male,247.757946391231,0.0532454298993155
T417n9,dmrtTriple,male,289.65074754876,0.057092867544807
T421n1,dmrtTriple,female,226.242740828911,0.0552929084116139
T421n10,dmrtTriple,female,279.397765043157,0.0745005146637884
T421n14,dmrtTriple,female,247.772296900019,0.0727906659936105
T421n15,dmrtTriple,female,231.295866322288,0.100306298437693
T421n16,dmrtTriple,female,256.374725743393,0.0740193142300732
T421n17,dmrtTriple,female,289.672612136913,0.0666281191253905
T421n18,dmrtTriple,female,216.577417515718,0.0761093697118138
T421n19,dmrtTriple,female,271.506087511046,0.082250787937815
T421n2,dmrtTriple,male,221.764640002764,0.0491980870448297
T421n20,dmrtTriple,female,236.598346946418,0.0338702469061239
T421n21,dmrtTriple,female,257.14500880934,0.0992974096555619
T421n22,dmrtTriple,female,275.866312227902,0.0756446172669899
T421n23,dmrtTriple,female,276.604812362732,0.07783830682015
T421n24,dmrtTriple,female,215.429287186719,0.0688193200156721
T421n4,dmrtTriple,female,237.814119756493,0.0650186557576578
T421n5,dmrtTriple,female,247.062745066916,0.0639179945382349
T421n6,dmrtTriple,female,212.14879474348,0.0460099326551108
T421n7,dmrtTriple,female,254.734720401004,0.0692339369391955
T421n9,dmrtTriple,male,135.639022572578,0.0109364872517443
T427n1,dmrtTriple,female,282.81128376043,0.0595961568998251
T427n2,dmrtTriple,female,306.365069085161,0.0638504486091435
T427n3,dmrtTriple,female,292.778262702529,0.0654929913433523
T427n4,dmrtTriple,female,266.044273675559,0.0489332334406823
T427n6,dmrtTriple,female,291.106700560312,0.0647889638383861
T427n7,dmrtTriple,male,188.434486110042,0.0414998321274922
T427n8,dmrtTriple,female,322.335918638374,0.0650098014491826
T427n9,dmrtTriple,female,259.166184351105,0.0437350328760333
T429n2,dmrtTriple,female,271.309581269975,0.0633141670972971
T429n3,dmrtTriple,male,264.764885217894,0.0482525309772352
T429n4,dmrtTriple,male,247.071739469419,0.057486172270886
T429n5,dmrtTriple,female,277.336538443018,0.0652277070856689
T429n6,dmrtTriple,female,262.9742669897,0.0339624899064329
T429n7,dmrtTriple,male,177.556618958028,0.028136315590799
T433n1,dmrtTriple,male,261.853224366459,0.0566156676027732
T433n2,dmrtTriple,male,209.069233615194,0.0480767912331542
T433n4,dmrtTriple,female,289.299537196696,0.0639702243501594
T433n5,dmrtTriple,male,238.743004551384,0.0337600629912387
T433n7,dmrtTriple,male,198.070694450239,0.0108062220156391
T433n8,dmrtTriple,female,292.881470147149,0.0768219298554809
T437n1,dmrtTriple,female,303.089279109491,0.0494026035780552
T437n2,dmrtTriple,male,259.298198134032,0.0185233772658383
T437n3,dmrtTriple,female,281.118401310828,0.0595172878420751
